rest,category,score,count,latitude,longitude,post
제스티 살룬 성수,버거,4.2,93,37.5475917,127.0423894,서울 성동구 서울숲4길 13
브루클린더버거조인트 서래마을점,버거,4.4,34,37.4960772,126.9997628,서울 서초구 서래로2길 27
파이브가이즈 강남,버거,4.1,94,37.501217,127.0256891,서울 서초구 강남대로 435
파이브가이즈 여의도점,버거,4.0,116,37.5253502,126.9288125,서울 영등포구 여의대로 108
자이온 등촌역,버거,4.7,16,37.5514069,126.8660985,서울 강서구 공항대로61길 10-11
쉑쉑버거 강남대로점,버거,3.9,147,37.5001017,127.0262223,서울 강남구 강남대로 352
벅벅 성균관대,버거,4.5,14,37.5884254,126.995691,서울 종로구 명륜길 22
크라이치즈버거 삼성역점,버거,4.2,48,37.5090856,127.0651856,서울 강남구 테헤란로 620
크라이치즈버거 양재역점,버거,4.4,23,37.4872538,127.0320051,서울 서초구 강남대로41길 8
한솥도시락 청담플래그십점,도시락,5.0,4,37.5254967,127.0470366,서울 강남구 압구정로 459
반우 역삼역,도시락,4.8,3,37.5008395,127.0355691,서울 강남구 테헤란로 147
진수성찬 서울역,도시락,5.0,1,37.5543761,126.9706334,
상무초밥 잠실점,도시락,4.3,5,37.5115318,127.0811985,서울 송파구 올림픽로 96
푸드박스 성동광진점,도시락,4.8,2,37.5609692,127.0876295,서울 광진구 용마산로 82
본도시락 잠실새내점,도시락,5.0,1,37.5100454,127.0799856,서울 송파구 올림픽로8길 20
본도시락 선릉,도시락,5.0,1,37.5025116,127.0505111,서울 강남구 선릉로82길 5
연도시락 마곡,도시락,4.3,3,37.5586687,126.8321734,서울 강서구 공항대로 222
연돈볼카츠 튀김덮밥도시락 강남CGV점,도시락,4.4,4,37.501626,127.0264855,서울 강남구 강남대로 438
대방골 여의도,도시락,4.8,2,37.5309463,126.9208132,서울 영등포구 국회대로 800
스노우폭스 선릉역점,도시락,4.1,10,37.5056105,127.0515994,서울 강남구 테헤란로 415
라라유부 명지대,도시락,5.0,2,37.5808295,126.9255787,서울 서대문구 거북골로 14
케이트분식당 풍납동,도시락,4.5,2,37.5344021,127.1215436,서울 송파구 올림픽로 587-1
가온한식뷔페 발산역,도시락,4.0,1,37.5583097,126.8455384,서울 강서구 화곡로61길 123
한솥도시락 노량진고시촌점,도시락,4.5,7,37.5125724,126.9448789,서울 동작구 만양로14가길 23
한솥도시락 건대,도시락,4.1,9,37.54549,127.0766386,서울 광진구 광나루로24길 21
본도시락 용산역,도시락,5.0,1,37.525516,126.964731,대구 달서구 한들로 15
영앤스윗 용산역,도시락,5.0,2,37.527532,126.9652843,서울 용산구 한강대로 69
도시락집 미미 홍대,도시락,4.5,8,37.5542896,126.9264574,서울 마포구 와우산로29가길 54-13
해마루 양재점,도시락,3.5,2,37.4624382,127.0341307,서울 서초구 매헌로1길 26
르베지왕 성수,샐러드,4.7,13,37.5444893,127.0511271,서울 성동구 연무장1길 15-1
샐러디치 오도씨 송파본점,샐러드,4.7,5,37.5087669,127.1053779,서울 송파구 송파대로48길 7
샐러드셀러 이태원,샐러드,4.4,21,37.5328308,126.9924926,서울 용산구 이태원로20길 36
신선식탁 대학로,샐러드,4.5,20,37.5763436,127.0007822,서울 종로구 율곡로13가길 4
마리앤샐러드 동대문,샐러드,4.6,3,37.5633793,127.0041913,서울 중구 퇴계로 292-1
투고샐러드 성신여대,샐러드,4.6,14,37.591545,127.0204012,서울 성북구 보문로34나길 3
칙피스 성수점,샐러드,4.4,22,37.5444301,127.0528627,서울 성동구 연무장5길 9-16
칙피스 신사점,샐러드,4.1,29,37.51911,127.0248065,서울 강남구 강남대로152길 69
프레퍼스 다이어트 푸드 강남직영점,샐러드,4.9,9,37.5002511,127.0275009,서울 강남구 테헤란로1길 30
샐러디 을지로3가역점,샐러드,3.4,4,37.5646707,126.989336,서울 중구 마른내로 14
샐러디 구의역점,샐러드,5.0,3,37.5377841,127.0836215,서울 광진구 자양로 112
샐러디 논현역,샐러드,4.5,20,37.5110267,127.0204939,서울 서초구 신반포로 337
알라보 강남점,샐러드,3.9,21,37.4999326,127.0323679,서울 강남구 테헤란로 129
그린벨 강남구청역,샐러드,4.0,3,37.5186542,127.0405744,서울 강남구 선릉로 717
프레퍼스 다이어트 푸드 노량진점,샐러드,4.7,8,37.5134966,126.9427662,서울 동작구 노량진로 152
팔레트샐러드 연희점,샐러드,4.0,4,37.5658152,126.9298027,서울 서대문구 연희로 83
퍼스트플러스에이드 여의도,샐러드,4.1,9,37.5233864,126.9234736,서울 영등포구 의사당대로 83
리브팜 압구정,샐러드,4.6,6,37.5244205,127.0244995,서울 강남구 압구정로18길 7
왓어샐러드 신용산역,샐러드,4.1,9,37.5287912,126.9686735,서울 용산구 한강대로 100
샐러디 종로광교점,샐러드,3.9,5,37.5690075,126.9843067,서울 종로구 청계천로 61
소금집 델리 망원동,샌드위치,4.2,69,37.5567813,126.9082522,서울 마포구 월드컵로19길 14
소금집 델리 안국점,샌드위치,4.3,90,37.5794136,126.9863175,서울 종로구 북촌로4길 19
파작 종각역,샌드위치,4.5,14,37.568941,126.9840599,서울 종로구 청계천로 57
포비 광화문,샌드위치,4.4,84,37.5707725,126.9787991,서울 종로구 종로3길 17
고트델리 문래,샌드위치,4.5,37,37.5138036,126.8924901,서울 영등포구 도림로139길 14
오파토 해방촌,샌드위치,4.6,19,37.5433502,126.9879735,서울 용산구 신흥로12길 4
루엘드파리 남부터미널,샌드위치,4.4,31,37.4840594,127.0173499,서울 서초구 서초중앙로 18
포비 강남점,샌드위치,4.5,43,37.5030165,127.0044176,서울 서초구 신반포로 지하 188
위트앤미트 강남점,샌드위치,4.3,37,37.5037803,127.0274523,서울 강남구 강남대로110길 32
코끼리베이글 영등포,샌드위치,4.2,59,37.5292732,126.8935041,서울 영등포구 선유로 176
렌위치 여의도IFC몰,샌드위치,4.5,12,37.5253337,126.9261238,서울 영등포구 국제금융로 10
비밀 이대,샌드위치,4.2,19,37.5585299,126.9431482,서울 서대문구 이화여대7길 48
바게틴 방배,샌드위치,4.5,9,37.4799718,126.9989877,서울 서초구 방배로 58
더숲 초소책방 종로구,샌드위치,4.4,46,37.5859415,126.964205,서울 종로구 인왕산로 172
애즈라이크 서촌,샌드위치,4.3,41,37.5783143,126.9733577,서울 종로구 효자로7길 23
커먼맨션 광화문,샌드위치,4.4,10,37.572751,126.9700144,서울 종로구 경희궁길 36
샐러드셀러 이태원,샌드위치,4.4,21,37.5328308,126.9924926,서울 용산구 이태원로20길 36
브로트아트 여의도,샌드위치,4.4,29,37.5224582,126.9311482,서울 영등포구 국제금융로7길 3
델리노쉬 서촌,샌드위치,4.8,5,37.5791478,126.9709284,서울 종로구 자하문로 35-6
누오바 이탈리아 용산구,샌드위치,4.6,15,37.5173888,126.9851878,서울 용산구 이촌로 352
멕시칼리 아차산역,맥시칸,4.6,108,37.5536231,127.0875894,서울 광진구 천호대로 634
바토스 이태원점,맥시칸,4.0,93,37.534521,126.9902185,서울 용산구 이태원로15길 1
올디스타코 을지로3가,맥시칸,4.5,62,37.5650628,126.9929594,서울 중구 충무로4길 3
타코튜즈데이 성수점,맥시칸,4.6,33,37.5467382,127.0455685,서울 성동구 왕십리로10길 10
멕시칸식당 베르데 연남동,맥시칸,4.4,29,37.5628313,126.9254121,서울 마포구 동교로 262-6
꼰미고 송리단길,맥시칸,4.5,22,37.5098609,127.1103822,서울 송파구 오금로18길 12
이터스 멕시칸 롯데월드몰점,맥시칸,4.6,23,37.514291,127.1046572,서울 송파구 올림픽로 300
감성타코 홍대점,맥시칸,4.2,41,37.5528115,126.9227273,서울 마포구 와우산로21길 20-11
버뮤다삼각지 용리단길,맥시칸,4.5,41,37.531982,126.9723219,
멕시코다이너 멕시코식당2호점 합정,맥시칸,4.4,19,37.5459898,126.9159775,서울 마포구 토정로3안길 33
비야게레로 삼성동,맥시칸,4.1,45,37.5119508,127.0528549,서울 강남구 봉은사로78길 12
